indicator_id,state,score
IND_200,Alaska,75
IND_200,Arizona,50
IND_200,Arkansas,100
IND_200,California,75
IND_200,Colorado,100
IND_200,Connecticut,75
IND_200,Delaware,100
IND_200,Florida,25
IND_200,Georgia,75
IND_200,Hawaii,25
IND_200,Idaho,100
IND_200,Illinois,100
IND_200,Indiana,25
IND_200,Iowa,100
IND_200,Kansas,100
IND_200,Kentucky,75
IND_200,Louisiana,75
IND_200,Maine,25
IND_200,Maryland,100
IND_200,Massachusetts,75
IND_200,Michigan,25
IND_200,Minnesota,75
IND_200,Mississippi,75
IND_200,Missouri,100
IND_200,Montana,50
IND_200,Nebraska,100
IND_200,Nevada,50
IND_200,New Hampshire,75
IND_200,New Jersey,25
IND_200,New Mexico,75
IND_200,New York,25
IND_200,North Carolina,75
IND_200,North Dakota,100
IND_200,Ohio,75
IND_200,Oklahoma,75
IND_200,Oregon,25
IND_200,Pennsylvania,50
IND_200,Rhode Island,75
IND_200,South Carolina,100
IND_200,South Dakota,25
IND_200,Tennessee,75
IND_200,Texas,100
IND_200,Utah,100
IND_200,Vermont,100
IND_200,Virginia,100
IND_200,Washington,50
IND_200,West Virginia,100
IND_200,Wisconsin,50
IND_200,Wyoming,25
IND_201,Alabama,MODERATE
IND_201,Alaska,YES
IND_201,Arizona,MODERATE
IND_201,Arkansas,MODERATE
IND_201,California,YES
IND_201,Colorado,Yes
IND_201,Connecticut,YES
IND_201,Delaware,NO
IND_201,Florida,MODERATE
IND_201,Georgia,MODERATE
IND_201,Hawaii,MODERATE
IND_201,Idaho,MODERATE
IND_201,Illinois,MODERATE
IND_201,Indiana,MODERATE
IND_201,Iowa,NO
IND_201,Kansas,MODERATE
IND_201,Kentucky,MODERATE
IND_201,Louisiana,MODERATE
IND_201,Maine,YES
IND_201,Maryland,YES
IND_201,Massachusetts,YES
IND_201,Michigan,MODERATE
IND_201,Minnesota,MODERATE
IND_201,Mississippi,YES
IND_201,Missouri,MODERATE
IND_201,Montana,NO
IND_201,Nebraska,YES
IND_201,Nevada,MODERATE
IND_201,New Hampshire,MODERATE
IND_201,New Jersey,YES
IND_201,New Mexico,MODERATE
IND_201,New York,YES
IND_201,North Carolina,MODERATE
IND_201,North Dakota,MODERATE
IND_201,Ohio,MODERATE
IND_201,Oklahoma,MODERATE
IND_201,Oregon,MODERATE
IND_201,Pennsylvania,NO
IND_201,Rhode Island,YES
IND_201,South Carolina,YES
IND_201,South Dakota,MODERATE
IND_201,Tennessee,NO
IND_201,Texas,MODERATE
IND_201,Utah,MODERATE
IND_201,Vermont,MODERATE
IND_201,Virginia,YES
IND_201,Washington,YES
IND_201,West Virginia,MODERATE
IND_201,Wisconsin,NO
IND_201,Wyoming,MODERATE
IND_202,Alabama,50
IND_202,Alaska,100
IND_202,Arizona,50
IND_202,Arkansas,50
IND_202,California,75
IND_202,Colorado,100
IND_202,Connecticut,75
IND_202,Delaware,25
IND_202,Florida,0
IND_202,Georgia,50
IND_202,Hawaii,50
IND_202,Idaho,50
IND_202,Illinois,100
IND_202,Indiana,50
IND_202,Iowa,0
IND_202,Kansas,50
IND_202,Kentucky,50
IND_202,Louisiana,75
IND_202,Maine,75
IND_202,Maryland,50
IND_202,Massachusetts,50
IND_202,Michigan,50
IND_202,Minnesota,25
IND_202,Mississippi,75
IND_202,Missouri,50
IND_202,Montana,0
IND_202,Nebraska,75
