filing_id	lobbyist_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_hours_communicating	total_hours_other	source_url
WI-lobbyist-11302-activity-2026-H2	11302	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11302
WI-lobbyist-11303-activity-2025-H1	11303	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11303
WI-lobbyist-11303-activity-2025-H2	11303	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11303
WI-lobbyist-11303-activity-2026-H1	11303	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11303
WI-lobbyist-11303-activity-2026-H2	11303	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11303
WI-lobbyist-11304-activity-2025-H1	11304	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11304
WI-lobbyist-11304-activity-2025-H2	11304	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11304
WI-lobbyist-11304-activity-2026-H1	11304	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11304
WI-lobbyist-11304-activity-2026-H2	11304	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11304
WI-lobbyist-11306-activity-2025-H1	11306	WI	activity_report	lobbyist	2025-01-01	2025-06-30	34.0	157.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11306
WI-lobbyist-11306-activity-2025-H2	11306	WI	activity_report	lobbyist	2025-07-01	2025-12-31	22.0	189.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11306
WI-lobbyist-11306-activity-2026-H1	11306	WI	activity_report	lobbyist	2026-01-01	2026-06-30	18.0	152.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11306
WI-lobbyist-11306-activity-2026-H2	11306	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11306
WI-lobbyist-11307-activity-2025-H1	11307	WI	activity_report	lobbyist	2025-01-01	2025-06-30	1.3	0.15	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11307
WI-lobbyist-11307-activity-2025-H2	11307	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.9	35.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11307
WI-lobbyist-11307-activity-2026-H1	11307	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11307
WI-lobbyist-11307-activity-2026-H2	11307	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11307
WI-lobbyist-11308-activity-2025-H1	11308	WI	activity_report	lobbyist	2025-01-01	2025-06-30	155.5	258.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11308
WI-lobbyist-11308-activity-2025-H2	11308	WI	activity_report	lobbyist	2025-07-01	2025-12-31	140.0	201.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11308
WI-lobbyist-11308-activity-2026-H1	11308	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11308
WI-lobbyist-11308-activity-2026-H2	11308	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11308
WI-lobbyist-11309-activity-2025-H1	11309	WI	activity_report	lobbyist	2025-01-01	2025-06-30	59.5	184.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11309
WI-lobbyist-11309-activity-2025-H2	11309	WI	activity_report	lobbyist	2025-07-01	2025-12-31	17.75	158.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11309
WI-lobbyist-11309-activity-2026-H1	11309	WI	activity_report	lobbyist	2026-01-01	2026-06-30	11.0	78.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11309
WI-lobbyist-11309-activity-2026-H2	11309	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11309
WI-lobbyist-11310-activity-2025-H1	11310	WI	activity_report	lobbyist	2025-01-01	2025-06-30	2.5	1.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11310
WI-lobbyist-11310-activity-2025-H2	11310	WI	activity_report	lobbyist	2025-07-01	2025-12-31	2.4	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11310
WI-lobbyist-11310-activity-2026-H1	11310	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11310
WI-lobbyist-11310-activity-2026-H2	11310	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11310
WI-lobbyist-11311-activity-2025-H1	11311	WI	activity_report	lobbyist	2025-01-01	2025-06-30	91.5	476.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11311
WI-lobbyist-11311-activity-2025-H2	11311	WI	activity_report	lobbyist	2025-07-01	2025-12-31	1.25	68.55	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11311
WI-lobbyist-11311-activity-2026-H1	11311	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11311
WI-lobbyist-11311-activity-2026-H2	11311	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11311
WI-lobbyist-11313-activity-2025-H1	11313	WI	activity_report	lobbyist	2025-01-01	2025-06-30	15.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11313
WI-lobbyist-11313-activity-2025-H2	11313	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11313
WI-lobbyist-11313-activity-2026-H1	11313	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11313
WI-lobbyist-11313-activity-2026-H2	11313	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11313
WI-lobbyist-11314-activity-2025-H1	11314	WI	activity_report	lobbyist	2025-01-01	2025-06-30	291.0	524.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11314
WI-lobbyist-11314-activity-2025-H2	11314	WI	activity_report	lobbyist	2025-07-01	2025-12-31	249.85	439.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11314
WI-lobbyist-11314-activity-2026-H1	11314	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	1.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11314
WI-lobbyist-11314-activity-2026-H2	11314	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11314
WI-lobbyist-11315-activity-2025-H1	11315	WI	activity_report	lobbyist	2025-01-01	2025-06-30	3.0	242.45	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11315
WI-lobbyist-11315-activity-2025-H2	11315	WI	activity_report	lobbyist	2025-07-01	2025-12-31	11.0	189.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11315
WI-lobbyist-11315-activity-2026-H1	11315	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11315
WI-lobbyist-11315-activity-2026-H2	11315	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11315
WI-lobbyist-11316-activity-2025-H1	11316	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11316
WI-lobbyist-11316-activity-2025-H2	11316	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11316
WI-lobbyist-11316-activity-2026-H1	11316	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11316
WI-lobbyist-11316-activity-2026-H2	11316	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11316
WI-lobbyist-11317-activity-2025-H1	11317	WI	activity_report	lobbyist	2025-01-01	2025-06-30	6.6	23.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11317
WI-lobbyist-11317-activity-2025-H2	11317	WI	activity_report	lobbyist	2025-07-01	2025-12-31	11.6	20.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11317
WI-lobbyist-11317-activity-2026-H1	11317	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11317
WI-lobbyist-11317-activity-2026-H2	11317	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11317
WI-lobbyist-11319-activity-2025-H1	11319	WI	activity_report	lobbyist	2025-01-01	2025-06-30	196.25	445.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11319
WI-lobbyist-11319-activity-2025-H2	11319	WI	activity_report	lobbyist	2025-07-01	2025-12-31	82.75	196.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11319
WI-lobbyist-11319-activity-2026-H1	11319	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11319
WI-lobbyist-11319-activity-2026-H2	11319	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11319
WI-lobbyist-11320-activity-2025-H1	11320	WI	activity_report	lobbyist	2025-01-01	2025-06-30	1.1	5.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11320
WI-lobbyist-11320-activity-2025-H2	11320	WI	activity_report	lobbyist	2025-07-01	2025-12-31	9.0	37.6	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11320
WI-lobbyist-11320-activity-2026-H1	11320	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11320
WI-lobbyist-11320-activity-2026-H2	11320	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11320
WI-lobbyist-11321-activity-2025-H1	11321	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	102.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11321
WI-lobbyist-11321-activity-2025-H2	11321	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	112.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11321
WI-lobbyist-11321-activity-2026-H1	11321	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11321
WI-lobbyist-11321-activity-2026-H2	11321	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11321
WI-lobbyist-11323-activity-2025-H1	11323	WI	activity_report	lobbyist	2025-01-01	2025-06-30	18.5	551.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11323
WI-lobbyist-11323-activity-2025-H2	11323	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11323
WI-lobbyist-11323-activity-2026-H1	11323	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11323
WI-lobbyist-11323-activity-2026-H2	11323	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11323
WI-lobbyist-11324-activity-2025-H1	11324	WI	activity_report	lobbyist	2025-01-01	2025-06-30	7.25	1.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11324
WI-lobbyist-11324-activity-2025-H2	11324	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11324
WI-lobbyist-11324-activity-2026-H1	11324	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11324
WI-lobbyist-11324-activity-2026-H2	11324	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11324
WI-lobbyist-11326-activity-2025-H1	11326	WI	activity_report	lobbyist	2025-01-01	2025-06-30	2.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11326
WI-lobbyist-11326-activity-2025-H2	11326	WI	activity_report	lobbyist	2025-07-01	2025-12-31	2.5	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11326
WI-lobbyist-11326-activity-2026-H1	11326	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11326
WI-lobbyist-11326-activity-2026-H2	11326	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11326
WI-lobbyist-11327-activity-2025-H1	11327	WI	activity_report	lobbyist	2025-01-01	2025-06-30	43.0	23.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11327
WI-lobbyist-11327-activity-2025-H2	11327	WI	activity_report	lobbyist	2025-07-01	2025-12-31	55.0	35.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11327
WI-lobbyist-11327-activity-2026-H1	11327	WI	activity_report	lobbyist	2026-01-01	2026-06-30	81.0	49.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11327
WI-lobbyist-11327-activity-2026-H2	11327	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11327
WI-lobbyist-11328-activity-2025-H1	11328	WI	activity_report	lobbyist	2025-01-01	2025-06-30	30.5	41.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11328
WI-lobbyist-11328-activity-2025-H2	11328	WI	activity_report	lobbyist	2025-07-01	2025-12-31	19.5	22.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11328
WI-lobbyist-11328-activity-2026-H1	11328	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11328
WI-lobbyist-11328-activity-2026-H2	11328	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11328
WI-lobbyist-11329-activity-2025-H1	11329	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	0.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11329
WI-lobbyist-11329-activity-2025-H2	11329	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11329
WI-lobbyist-11329-activity-2026-H1	11329	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11329
WI-lobbyist-11329-activity-2026-H2	11329	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11329
WI-lobbyist-11330-activity-2025-H1	11330	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.5	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11330
WI-lobbyist-11330-activity-2025-H2	11330	WI	activity_report	lobbyist	2025-07-01	2025-12-31	1.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11330
WI-lobbyist-11330-activity-2026-H1	11330	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11330
WI-lobbyist-11330-activity-2026-H2	11330	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11330
WI-lobbyist-11331-activity-2025-H1	11331	WI	activity_report	lobbyist	2025-01-01	2025-06-30	0.0	38.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11331
WI-lobbyist-11331-activity-2025-H2	11331	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11331
WI-lobbyist-11331-activity-2026-H1	11331	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11331
WI-lobbyist-11331-activity-2026-H2	11331	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11331
WI-lobbyist-11332-activity-2025-H1	11332	WI	activity_report	lobbyist	2025-01-01	2025-06-30	5.0	4.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11332
WI-lobbyist-11332-activity-2025-H2	11332	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11332
WI-lobbyist-11332-activity-2026-H1	11332	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11332
WI-lobbyist-11332-activity-2026-H2	11332	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11332
WI-lobbyist-11334-activity-2025-H1	11334	WI	activity_report	lobbyist	2025-01-01	2025-06-30	330.2	400.4	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11334
WI-lobbyist-11334-activity-2025-H2	11334	WI	activity_report	lobbyist	2025-07-01	2025-12-31	212.0	309.9	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11334
WI-lobbyist-11334-activity-2026-H1	11334	WI	activity_report	lobbyist	2026-01-01	2026-06-30	142.3	251.9	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11334
WI-lobbyist-11334-activity-2026-H2	11334	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11334
WI-lobbyist-11335-activity-2025-H1	11335	WI	activity_report	lobbyist	2025-01-01	2025-06-30	5.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11335
WI-lobbyist-11335-activity-2025-H2	11335	WI	activity_report	lobbyist	2025-07-01	2025-12-31	1.75	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11335
WI-lobbyist-11335-activity-2026-H1	11335	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11335
WI-lobbyist-11335-activity-2026-H2	11335	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11335
WI-lobbyist-11336-activity-2025-H1	11336	WI	activity_report	lobbyist	2025-01-01	2025-06-30	23.0	21.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11336
WI-lobbyist-11336-activity-2025-H2	11336	WI	activity_report	lobbyist	2025-07-01	2025-12-31	18.5	40.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11336
WI-lobbyist-11336-activity-2026-H1	11336	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11336
WI-lobbyist-11336-activity-2026-H2	11336	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11336
WI-lobbyist-11337-activity-2025-H1	11337	WI	activity_report	lobbyist	2025-01-01	2025-06-30	50.5	26.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11337
WI-lobbyist-11337-activity-2025-H2	11337	WI	activity_report	lobbyist	2025-07-01	2025-12-31	3.0	15.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11337
WI-lobbyist-11337-activity-2026-H1	11337	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11337
WI-lobbyist-11337-activity-2026-H2	11337	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11337
WI-lobbyist-11338-activity-2025-H1	11338	WI	activity_report	lobbyist	2025-01-01	2025-06-30	9.5	6.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11338
WI-lobbyist-11338-activity-2025-H2	11338	WI	activity_report	lobbyist	2025-07-01	2025-12-31	2.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11338
WI-lobbyist-11338-activity-2026-H1	11338	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11338
WI-lobbyist-11338-activity-2026-H2	11338	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11338
WI-lobbyist-11340-activity-2025-H1	11340	WI	activity_report	lobbyist	2025-01-01	2025-06-30	4.5	8.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11340
WI-lobbyist-11340-activity-2025-H2	11340	WI	activity_report	lobbyist	2025-07-01	2025-12-31	1.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11340
WI-lobbyist-11340-activity-2026-H1	11340	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11340
WI-lobbyist-11340-activity-2026-H2	11340	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11340
WI-lobbyist-11341-activity-2025-H1	11341	WI	activity_report	lobbyist	2025-01-01	2025-06-30	4.5	35.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11341
WI-lobbyist-11341-activity-2025-H2	11341	WI	activity_report	lobbyist	2025-07-01	2025-12-31	7.0	52.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11341
WI-lobbyist-11341-activity-2026-H1	11341	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11341
WI-lobbyist-11341-activity-2026-H2	11341	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11341
WI-lobbyist-11343-activity-2025-H1	11343	WI	activity_report	lobbyist	2025-01-01	2025-06-30	2.0	2.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11343
WI-lobbyist-11343-activity-2025-H2	11343	WI	activity_report	lobbyist	2025-07-01	2025-12-31	7.5	1.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11343
WI-lobbyist-11343-activity-2026-H1	11343	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11343
WI-lobbyist-11343-activity-2026-H2	11343	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11343
WI-lobbyist-11344-activity-2025-H1	11344	WI	activity_report	lobbyist	2025-01-01	2025-06-30	11.0	55.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11344
WI-lobbyist-11344-activity-2025-H2	11344	WI	activity_report	lobbyist	2025-07-01	2025-12-31	12.0	37.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11344
WI-lobbyist-11344-activity-2026-H1	11344	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11344
WI-lobbyist-11344-activity-2026-H2	11344	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11344
WI-lobbyist-11345-activity-2025-H1	11345	WI	activity_report	lobbyist	2025-01-01	2025-06-30	130.75	80.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11345
WI-lobbyist-11345-activity-2025-H2	11345	WI	activity_report	lobbyist	2025-07-01	2025-12-31	70.25	72.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11345
WI-lobbyist-11345-activity-2026-H1	11345	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11345
WI-lobbyist-11345-activity-2026-H2	11345	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11345
WI-lobbyist-11346-activity-2025-H1	11346	WI	activity_report	lobbyist	2025-01-01	2025-06-30	64.5	306.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11346
WI-lobbyist-11346-activity-2025-H2	11346	WI	activity_report	lobbyist	2025-07-01	2025-12-31	40.75	282.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11346
WI-lobbyist-11346-activity-2026-H1	11346	WI	activity_report	lobbyist	2026-01-01	2026-06-30	7.75	25.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11346
WI-lobbyist-11346-activity-2026-H2	11346	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11346
