filing_id	lobbyist_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_hours_communicating	total_hours_other	source_url
WI-lobbyist-11047-activity-2025-H1	11047	WI	activity_report	lobbyist	2025-01-01	2025-06-30	15.0	11.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11047
WI-lobbyist-11047-activity-2025-H2	11047	WI	activity_report	lobbyist	2025-07-01	2025-12-31	18.0	10.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11047
WI-lobbyist-11047-activity-2026-H1	11047	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11047
WI-lobbyist-11047-activity-2026-H2	11047	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11047
WI-lobbyist-11048-activity-2025-H1	11048	WI	activity_report	lobbyist	2025-01-01	2025-06-30	9.5	16.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11048
WI-lobbyist-11048-activity-2025-H2	11048	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11048
WI-lobbyist-11048-activity-2026-H1	11048	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11048
WI-lobbyist-11048-activity-2026-H2	11048	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11048
WI-lobbyist-11049-activity-2025-H1	11049	WI	activity_report	lobbyist	2025-01-01	2025-06-30	46.25	170.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11049
WI-lobbyist-11049-activity-2025-H2	11049	WI	activity_report	lobbyist	2025-07-01	2025-12-31	17.0	83.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11049
WI-lobbyist-11049-activity-2026-H1	11049	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11049
WI-lobbyist-11049-activity-2026-H2	11049	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11049
WI-lobbyist-11050-activity-2025-H1	11050	WI	activity_report	lobbyist	2025-01-01	2025-06-30	3.5	3.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11050
WI-lobbyist-11050-activity-2025-H2	11050	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	0.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11050
WI-lobbyist-11050-activity-2026-H1	11050	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.75	6.25	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11050
WI-lobbyist-11050-activity-2026-H2	11050	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11050
WI-lobbyist-11051-activity-2025-H1	11051	WI	activity_report	lobbyist	2025-01-01	2025-06-30	64.4	551.8	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11051
WI-lobbyist-11051-activity-2025-H2	11051	WI	activity_report	lobbyist	2025-07-01	2025-12-31	76.1	314.4	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11051
WI-lobbyist-11051-activity-2026-H1	11051	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11051
WI-lobbyist-11051-activity-2026-H2	11051	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11051
WI-lobbyist-11052-activity-2025-H1	11052	WI	activity_report	lobbyist	2025-01-01	2025-06-30	102.5	566.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11052
WI-lobbyist-11052-activity-2025-H2	11052	WI	activity_report	lobbyist	2025-07-01	2025-12-31	195.0	673.9	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11052
WI-lobbyist-11052-activity-2026-H1	11052	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11052
WI-lobbyist-11052-activity-2026-H2	11052	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11052
WI-lobbyist-11053-activity-2025-H1	11053	WI	activity_report	lobbyist	2025-01-01	2025-06-30	83.0	436.75	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11053
WI-lobbyist-11053-activity-2025-H2	11053	WI	activity_report	lobbyist	2025-07-01	2025-12-31	63.75	431.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11053
WI-lobbyist-11053-activity-2026-H1	11053	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11053
WI-lobbyist-11053-activity-2026-H2	11053	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11053
WI-lobbyist-11054-activity-2025-H1	11054	WI	activity_report	lobbyist	2025-01-01	2025-06-30	2.5	40.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11054
WI-lobbyist-11054-activity-2025-H2	11054	WI	activity_report	lobbyist	2025-07-01	2025-12-31	0.0	5.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11054
WI-lobbyist-11054-activity-2026-H1	11054	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	7.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11054
WI-lobbyist-11054-activity-2026-H2	11054	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11054
WI-lobbyist-11055-activity-2025-H1	11055	WI	activity_report	lobbyist	2025-01-01	2025-06-30	25.5	109.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11055
WI-lobbyist-11055-activity-2025-H2	11055	WI	activity_report	lobbyist	2025-07-01	2025-12-31	4.0	54.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11055
WI-lobbyist-11055-activity-2026-H1	11055	WI	activity_report	lobbyist	2026-01-01	2026-06-30	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11055
WI-lobbyist-11055-activity-2026-H2	11055	WI	activity_report	lobbyist	2026-07-01	2026-12-31	0.0	0.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11055
WI-lobbyist-11056-activity-2025-H1	11056	WI	activity_report	lobbyist	2025-01-01	2025-06-30	185.3	442.0	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11056
WI-lobbyist-11056-activity-2025-H2	11056	WI	activity_report	lobbyist	2025-07-01	2025-12-31	84.5	388.5	https://lobbying.wi.gov/Who/LobbyistInformation/2025REG/Information/11056
