column	flag	jurisdiction	n_matched	offset_px	raw	scan_page	table
reg_employing_individuals_with_actual_contact	unknown_marker	Tennessee			=	160	28
prohibit_campaign_contribs_any_time	unknown_marker	Tennessee			Annual —-	160	28
prohibit_solicitation_for_officials	unknown_marker	Tennessee			fii)	160	28
prohibit_other	unknown_marker	Tennessee			Gj	160	28
reg_other	unknown_marker	Texas			(kk)	160	28
prohibit_campaign_contribs_any_time	unknown_marker	Texas			—-	160	28
prohibit_contingent_compensation	unknown_marker	Texas			(nn)	160	28
def_legislative_parliamentary	unknown_marker	Utah			.	160	28
def_administrative_agency	unknown_marker	Utah			*.	160	28
prohibit_campaign_contribs_any_time	unknown_marker	Utah			Biennial —-	160	28
reg_employing_individuals_with_actual_contact	unknown_marker	Vermont			f	160	28
reg_public_officials_lobbying_in_official_capacity	unknown_marker	Vermont			=	160	28
prohibit_campaign_contribs_any_time	unknown_marker	Vermont			Annual	160	28
prohibit_contingent_compensation	unknown_marker	Vermont			(pp)	160	28
def_legislative_parliamentary	unknown_marker	Virginia			.	160	28
def_compensation_standard	unknown_marker	Virginia			‘	160	28
def_expenditure_standard	unknown_marker	Virginia			.	160	28
prohibit_solicitation_for_officials	unknown_marker	Virginia			~	160	28
reg_other	unknown_marker	Washington			=	160	28
def_compensation_standard	unknown_marker	West Virginia			‘	160	28
reg_actual_contact_with_state_officials	unknown_marker	West Virginia			.	160	28
prohibit_campaign_contribs_any_time	unknown_marker	West Virginia			~=Biennial —-	160	28
def_legislative_parliamentary	unknown_marker	Wisconsin			.	160	28
def_administrative_agency	unknown_marker	Wisconsin			.	160	28
def_public_employees_as_lobbyists	unknown_marker	Wisconsin			‘	160	28
def_legislative_parliamentary	unknown_marker	Wyoming			District .	160	28
def_expenditure_standard	unknown_marker	Wyoming			.	160	28
reg_employing_individuals_with_actual_contact	unknown_marker	Wyoming			.	160	28
prohibit_campaign_contribs_during_session	unknown_marker	Wyoming			~	160	28
prohibit_solicitation_for_officials	unknown_marker	Wyoming			~	160	28
file_employing_with_actual_contact	unknown_marker	Alaska			,	163	29
disclose_expenditures_benefiting_officials	unknown_marker	Arkansas			.	163	29
disclose_categories_of_expenditures	unknown_marker	Arkansas			.	163	29
disclose_expenditures_benefiting_officials	unknown_marker	California			.	163	29
file_compensated_with_actual_contact	unknown_marker	Connecticut			e 5 (a)	163	29
file_employing_with_contact_over_threshold	unknown_marker	Connecticut			(a)	163	29
file_other	unknown_marker	Connecticut			sion;	163	29
file_employing_with_actual_contact	unknown_marker	Hawaii			.	163	29
file_other	unknown_marker	Idaho			(d) nually	163	29
file_compensated_with_actual_contact	unknown_marker	Indiana			8 ‘	163	29
file_other	unknown_marker	Indiana			(e)	163	29
	scan_offset_applied		15	-9.1		164	29
disclose_other	unknown_marker	Kansas			(i)	164	29
disclose_other	unknown_marker	Louisiana			(i)	164	29
file_other	unknown_marker	Maryland			(k)	164	29
disclose_categories_of_expenditures	unknown_marker	Michigan			(k)	164	29
disclose_other	unknown_marker	Michigan			(1)	164	29
file_employing_with_contact_over_threshold	unknown_marker	Minnesota			,	164	29
file_other	unknown_marker	Minnesota			(m)	164	29
file_other	unknown_marker	Mississippi			(o) end	164	29
disclose_categories_of_expenditures	unknown_marker	Mississippi			.	164	29
	scan_offset_applied		15	1.5		165	29
disclose_contributions_for_lobbying	unknown_marker	Montana			(r)	165	29
disclose_other	unknown_marker	Nebraska			{u) (v)	165	29
disclose_total_expenditures	unknown_marker	Nevada			_—	165	29
file_other	unknown_marker	New Hampshire			(w)	165	29
disclose_other	unknown_marker	New Hampshire			(x)	165	29
file_compensated_with_actual_contact	unknown_marker	North Carolina			= (y)	165	29
file_employing_with_actual_contact	unknown_marker	North Carolina			(z)	165	29
disclose_compensation_by_employer	unknown_marker	North Carolina			(aa)	165	29
disclose_categories_of_expenditures	unknown_marker	North Dakota			—_	165	29
disclose_other	unknown_marker	North Dakota			(bb)	165	29
	scan_offset_applied		15	-13.4		166	29
disclose_other	unknown_marker	Oklahoma			(cc)	166	29
file_other	unknown_marker	Oregon			(dd) (ee)	166	29
disclose_compensation_by_employer	unknown_marker	Oregon			(ff)	166	29
disclose_expenditures_benefiting_officials	unknown_marker	Tennessee			(gg)	166	29
disclose_other	unknown_marker	Tennessee			(hh)	166	29
file_other	unknown_marker	Texas			(ii) during ly	166	29
disclose_legislation_admin_action	unknown_marker	Texas			Gi	166	29
disclose_categories_of_expenditures	unknown_marker	Texas			.	166	29
file_uncompensated_with_actual_contact	unknown_marker	Washington			ad	166	29
file_other	unknown_marker	Washington			(at)	166	29
disclose_categories_of_expenditures	unknown_marker	Washington			.	166	29
disclose_other	unknown_marker	Washington			(il)	166	29
	scan_offset_applied		13	-1.7		167	29
disclose_categories_of_expenditures	unknown_marker	West Virginia			,	167	29
file_other	unknown_marker	Wisconsin			No	167	29
disclose_other	unknown_marker	Wisconsin			(nn)	167	29
	scan_offset_applied		17	6.7		169	30
public_access_agency_compiles_publishes	unknown_marker	Alabama			‘	169	30
review_desk_or_field_complaints	unknown_marker	Alaska			N.A.	169	30
public_access_unrestricted	unknown_marker	Alaska			N.A.	169	30
public_access_restricted	unknown_marker	Alaska			NLA.	169	30
public_access_not_available	unknown_marker	Alaska			N.A	169	30
public_access_agency_compiles_publishes	unknown_marker	Alaska			N.A	169	30
review_desk_all	unknown_marker	Arizona			3 N.A.	169	30
review_field_all	unknown_marker	Arizona			N.A.	169	30
review_desk_or_field_all	unknown_marker	Arizona			N.A	169	30
review_desk_over_threshold	unknown_marker	Arizona			N.A.	169	30
review_field_over_threshold	unknown_marker	Arizona			N.A.	169	30
review_desk_or_field_over_threshold	unknown_marker	Arizona			N.A.	169	30
review_desk_random	unknown_marker	Arizona			N.A	169	30
review_field_random	unknown_marker	Arizona			N.A.	169	30
review_desk_or_field_random	unknown_marker	Arizona			N.A,	169	30
review_desk_complaints	unknown_marker	Arizona			N.A.	169	30
review_field_complaints	unknown_marker	Arizona			N.A.	169	30
review_desk_all	unknown_marker	Colorado			N.A.	169	30
review_field_all	unknown_marker	Colorado			N.A.	169	30
review_desk_or_field_all	unknown_marker	Colorado			N.A.	169	30
review_desk_over_threshold	unknown_marker	Colorado			N.A.	169	30
review_field_over_threshold	unknown_marker	Colorado			N.A.	169	30
review_desk_or_field_over_threshold	unknown_marker	Colorado			N.A.	169	30
review_desk_random	unknown_marker	Colorado			N.A	169	30
review_field_random	unknown_marker	Colorado			N.A.	169	30
review_desk_or_field_random	unknown_marker	Colorado			N.A.	169	30
review_desk_complaints	unknown_marker	Colorado			N.A.	169	30
review_field_complaints	unknown_marker	Colorado			N.A.	169	30
review_desk_or_field_complaints	unknown_marker	Colorado			N.A.	169	30
public_access_restricted	unknown_marker	Colorado			N.A. =	169	30
review_desk_or_field_random	unknown_marker	Connecticut			=	169	30
public_access_unrestricted	unknown_marker	Connecticut			N.A.	169	30
public_access_restricted	unknown_marker	Connecticut			N.A.	169	30
public_access_not_available	unknown_marker	Connecticut			N.A,	169	30
public_access_agency_compiles_publishes	unknown_marker	Connecticut			N.A	169	30
review_desk_all	unknown_marker	Delaware			§ N.A.	169	30
review_field_all	unknown_marker	Delaware			N.A.	169	30
review_desk_or_field_all	unknown_marker	Delaware			N.A.	169	30
review_desk_over_threshold	unknown_marker	Delaware			N.A.	169	30
review_field_over_threshold	unknown_marker	Delaware			N.A.	169	30
review_desk_or_field_over_threshold	unknown_marker	Delaware			N.A.	169	30
review_desk_random	unknown_marker	Delaware			N.A	169	30
review_field_random	unknown_marker	Delaware			N.A.	169	30
review_desk_or_field_random	unknown_marker	Delaware			N.A.	169	30
review_desk_complaints	unknown_marker	Delaware			N.A.	169	30
review_field_complaints	unknown_marker	Delaware			N.A.	169	30
review_desk_or_field_complaints	unknown_marker	Delaware			N.A.	169	30
review_desk_all	unknown_marker	Florida			=	169	30
review_desk_all	unknown_marker	Georgia			/	169	30
review_field_all	unknown_marker	Hawaii			—_—	169	30
